round,outcome,bet_type,bet_target,amount,win,payout,bankroll
399,27,red,red,20,True,20,260
400,11,red,red,20,False,-20,240
401,2,red,red,20,False,-20,220
402,16,red,red,20,True,20,240
403,23,red,red,20,True,20,260
404,30,red,red,20,True,20,280
405,12,red,red,20,True,20,300
406,10,red,red,20,False,-20,280
407,20,red,red,20,False,-20,260
408,26,red,red,20,False,-20,240
409,30,red,red,20,True,20,260
410,00,red,red,20,False,-20,240
411,12,red,red,20,True,20,260
412,35,red,red,20,False,-20,240
413,35,red,red,20,False,-20,220
414,32,red,red,20,True,20,240
415,28,red,red,20,False,-20,220
416,28,red,red,20,False,-20,200
417,32,red,red,20,True,20,220
418,20,red,red,20,False,-20,200
419,27,red,red,20,True,20,220
420,31,red,red,20,False,-20,200
421,10,red,red,20,False,-20,180
422,23,red,red,20,True,20,200
423,18,red,red,20,True,20,220
424,13,red,red,20,False,-20,200
425,33,red,red,20,False,-20,180
426,32,red,red,20,True,20,200
427,17,red,red,20,False,-20,180
428,20,red,red,20,False,-20,160
429,21,red,red,20,True,20,180
430,0,red,red,20,False,-20,160
431,12,red,red,20,True,20,180
432,17,red,red,20,False,-20,160
433,29,red,red,20,False,-20,140
434,4,red,red,20,False,-20,120
435,17,red,red,20,False,-20,100
436,20,red,red,20,False,-20,80
437,26,red,red,20,False,-20,60
438,36,red,red,20,True,20,80
439,27,red,red,20,True,20,100
440,10,red,red,20,False,-20,80
441,25,red,red,20,True,20,100
442,27,red,red,20,True,20,120
443,19,red,red,20,True,20,140
444,32,red,red,20,True,20,160
445,3,red,red,20,True,20,180
446,13,red,red,20,False,-20,160
447,4,red,red,20,False,-20,140
448,21,red,red,20,True,20,160
449,30,red,red,20,True,20,180
450,34,red,red,20,True,20,200
451,5,red,red,20,True,20,220
452,35,red,red,20,False,-20,200
453,18,red,red,20,True,20,220
454,6,red,red,20,False,-20,200
455,1,red,red,20,True,20,220
456,17,red,red,20,False,-20,200
457,30,red,red,20,True,20,220
458,16,red,red,20,True,20,240
459,8,red,red,20,False,-20,220
460,3,red,red,20,True,20,240
461,2,red,red,20,False,-20,220
462,6,red,red,20,False,-20,200
463,29,red,red,20,False,-20,180
464,9,red,red,20,True,20,200
465,5,red,red,20,True,20,220
466,28,red,red,20,False,-20,200
467,16,red,red,20,True,20,220
468,26,red,red,20,False,-20,200
469,19,red,red,20,True,20,220
470,28,red,red,20,False,-20,200
471,7,red,red,20,True,20,220
472,36,red,red,20,True,20,240
473,25,red,red,20,True,20,260
474,27,red,red,20,True,20,280
475,9,red,red,20,True,20,300
476,33,red,red,20,False,-20,280
477,00,red,red,20,False,-20,260
478,4,red,red,20,False,-20,240
479,24,red,red,20,False,-20,220
480,27,red,red,20,True,20,240
481,19,red,red,20,True,20,260
482,36,red,red,20,True,20,280
483,20,red,red,20,False,-20,260
484,21,red,red,20,True,20,280
485,7,red,red,20,True,20,300
486,2,red,red,20,False,-20,280
487,36,red,red,20,True,20,300
488,34,red,red,20,True,20,320
